country,country_code,year,electricity_access,gdp_per_capita,life_expectancy,population,poverty_headcount,primary_enrollment,secondary_enrollment
Afghanistan,AFG,1998,,,52.487,19159996.0,,,
Afghanistan,AFG,1999,,,54.532,19887785.0,,,
Afghanistan,AFG,2000,4.4,174.930991430166,55.005,20130327.0,,,
Afghanistan,AFG,2001,9.3,138.706821676113,55.511,20284307.0,,,14.0404100418091
Afghanistan,AFG,2002,14.1,178.954088379235,56.225,21378117.0,,,
Afghanistan,AFG,2003,19.0,198.871115728727,57.171,22733049.0,,,13.959529876709
Afghanistan,AFG,2004,23.8,221.763653873013,57.81,23560654.0,,,19.2143802642822
Afghanistan,AFG,2005,28.7,254.184249149336,58.247,24404567.0,,,20.2735099792481
Afghanistan,AFG,2006,33.5,274.218553561575,58.553,25424094.0,,,29.523889541626
Afghanistan,AFG,2007,38.4,376.223152003876,58.956,25909852.0,,,28.8154907226562
Afghanistan,AFG,2008,42.4,381.73323802844,59.708,26482622.0,,,38.930850982666
Afghanistan,AFG,2009,48.3,452.053705477043,60.248,27466101.0,,,44.2999496459961
Afghanistan,AFG,2010,42.7,560.621505463146,60.702,28284089.0,,,50.4406204223633
Afghanistan,AFG,2011,43.2,606.694676337726,61.25,29347708.0,,,52.4474296569824
Afghanistan,AFG,2012,69.1,651.417134470046,61.735,30560034.0,,,54.372859954834
Afghanistan,AFG,2013,68.0,637.087099117099,62.188,31622704.0,,,54.8833694458008
Afghanistan,AFG,2014,89.5,625.054941813938,62.26,32792523.0,,,54.2936515808105
Afghanistan,AFG,2015,71.5,565.569730408751,62.27,33831764.0,,,53.1501083374023
Afghanistan,AFG,2016,97.7,522.082215583898,62.646,34700612.0,,,53.4350395202637
Afghanistan,AFG,2017,97.7,525.469770891619,62.406,35688935.0,,,55.5364303588867
Afghanistan,AFG,2018,93.4,491.337221382603,62.443,36743039.0,,,57.3578491210938
Afghanistan,AFG,2019,97.7,496.6025042585,62.941,37856121.0,,,
Afghanistan,AFG,2020,97.7,510.787063366811,61.454,39068979.0,,,
Afghanistan,AFG,2021,97.7,356.496214115892,60.417,40000412.0,,,
Afghanistan,AFG,2022,85.3,357.261152798144,65.617,40578842.0,,,
Afghanistan,AFG,2023,85.3,413.757894705303,66.035,41454761.0,,,
Afghanistan,AFG,2024,,,,42647492.0,,,
Africa Eastern and Southern,AFE,1960,,186.121834666874,44.169658253166,130075728.0,,,
Africa Eastern and Southern,AFE,1961,,186.941781389892,44.4688383362574,133534923.0,,,
Africa Eastern and Southern,AFE,1962,,197.402402426459,44.8778899276437,137171659.0,,,
Africa Eastern and Southern,AFE,1963,,225.440493639993,45.160582805883,140945536.0,,,
Africa Eastern and Southern,AFE,1964,,208.999748076,45.5356954673738,144904094.0,,,
Africa Eastern and Southern,AFE,1965,,226.876512633529,45.7707229233552,149033472.0,,,
Africa Eastern and Southern,AFE,1966,,240.955232436321,45.7657253575752,153281203.0,,,
Africa Eastern and Southern,AFE,1967,,243.817323446096,46.4407454164319,157704381.0,,,
Africa Eastern and Southern,AFE,1968,,257.190081597614,46.7386317469603,162329396.0,,,
Africa Eastern and Southern,AFE,1969,,281.629276716978,46.977475702472,167088245.0,,,
Africa Eastern and Southern,AFE,1970,,276.782059767758,47.2480056807395,171984985.0,,,16.8848991394043
Africa Eastern and Southern,AFE,1971,,294.866149448689,47.4640156591505,177022314.0,,,16.1438903808594
Africa Eastern and Southern,AFE,1972,,311.51901877983,47.1667922827106,182126556.0,,,16.9476795196533
Africa Eastern and Southern,AFE,1973,,389.796972143257,47.7466079240168,187524135.0,,,17.1273708343506
Africa Eastern and Southern,AFE,1974,,463.549790110905,47.7443277639797,193186642.0,,,17.2605495452881
Africa Eastern and Southern,AFE,1975,,479.162164741466,47.9685480547675,198914573.0,,,17.8118801116943
Africa Eastern and Southern,AFE,1976,,468.856330923431,48.568138198282,204802976.0,,,17.8740692138672
Africa Eastern and Southern,AFE,1977,,518.450612880301,48.8607248856663,210680842.0,,,18.3465805053711
Africa Eastern and Southern,AFE,1978,,571.720267490217,48.9839167133521,217074286.0,,,18.949649810791
Africa Eastern and Southern,AFE,1979,,634.561894108334,49.4169883847351,223974122.0,,,19.5662002563477
Africa Eastern and Southern,AFE,1980,,773.439454072262,49.816713138052,230792729.0,,,20.37034034729
Africa Eastern and Southern,AFE,1981,,777.833110434383,50.0204932967522,238043099.0,,,21.0441398620606
Africa Eastern and Southern,AFE,1982,,725.728116212689,50.2908293797205,245822010.0,,,21.8070297241211
Africa Eastern and Southern,AFE,1983,,732.588723549442,48.9040956565702,253644643.0,,,22.352689743042
Africa Eastern and Southern,AFE,1984,,650.563519617381,48.9979586702537,261458202.0,,,22.9280109405518
Africa Eastern and Southern,AFE,1985,,554.439146516658,49.3929024640878,269450407.0,,,23.5769100189209
Africa Eastern and Southern,AFE,1986,,578.603956518682,50.0097614989116,277621771.0,,,23.6898307800293
Africa Eastern and Southern,AFE,1987,,665.119756482631,51.0689429320971,286067346.0,,,24.0443096160889
Africa Eastern and Southern,AFE,1988,,704.466221711,50.8766070614947,294498625.0,,,24.2764701843262
Africa Eastern and Southern,AFE,1989,,728.549336565123,51.2658735140763,302939121.0,,,24.0915794372559
Africa Eastern and Southern,AFE,1990,,822.79386754523,51.0963264543047,311748681.0,,,24.2189292907715
Africa Eastern and Southern,AFE,1991,,864.563865250914,50.8732436063946,320442961.0,,,24.6175899505615
Africa Eastern and Southern,AFE,1992,,733.243855634055,50.7159460478921,329082707.0,,,24.4192504882812
Africa Eastern and Southern,AFE,1993,,709.659254937363,51.0737619133776,338324002.0,,,24.6954898834229
Africa Eastern and Southern,AFE,1994,,701.041551520198,50.9665887956465,347441809.0,,,25.0056095123291
Africa Eastern and Southern,AFE,1995,,766.820590836759,51.4820566813357,356580375.0,,,25.7894802093506
Africa Eastern and Southern,AFE,1996,,747.069673916573,51.3531898360738,366138524.0,,,26.1036396026611
Africa Eastern and Southern,AFE,1997,,767.684192170293,51.5708865171429,375646235.0,,,26.4752101898193
Africa Eastern and Southern,AFE,1998,,697.352671611013,51.3179554721368,385505757.0,,,27.3343696594238
Africa Eastern and Southern,AFE,1999,,670.697829187975,51.8070772449868,395750933.0,,,27.5691108703613
Africa Eastern and Southern,AFE,2000,19.9172563342889,707.120377674078,52.5573418626777,406156661.0,,,27.7371292114258
Africa Eastern and Southern,AFE,2001,19.9442774203583,626.169149753934,52.8755360536287,416807868.0,,,28.7891101837158
Africa Eastern and Southern,AFE,2002,21.5486466155625,625.998816166344,53.2067443343026,427820358.0,,,29.4754505157471
Africa Eastern and Southern,AFE,2003,22.4932167182052,809.968140498029,53.6783047685822,439173286.0,,,30.0984306335449
Africa Eastern and Southern,AFE,2004,23.724454932615,981.744631574583,54.1929278660434,450928044.0,,,31.5510196685791
Africa Eastern and Southern,AFE,2005,23.449539355606,1115.71395657647,54.8076807136336,463076637.0,,,32.5553398132324
Africa Eastern and Southern,AFE,2006,25.1724823105969,1220.00246913408,55.6935152578453,475606210.0,,,34.0642395019531
Africa Eastern and Southern,AFE,2007,26.7951445862147,1362.31065164416,56.4843531784534,488580707.0,,,35.4449501037598
Africa Eastern and Southern,AFE,2008,25.9088451344457,1421.11861281885,57.2401063228798,502070763.0,,,36.8555488586426
Africa Eastern and Southern,AFE,2009,26.1878464781111,1386.59024970969,58.0955271436463,516003448.0,,,37.9614715576172
Africa Eastern and Southern,AFE,2010,27.414953756332,1601.72765054704,58.8272792062821,530308387.0,,,38.864860534668
Africa Eastern and Southern,AFE,2011,28.909756234127,1735.58492331253,59.2000040300701,544737983.0,,,39.4915084838867
Africa Eastern and Southern,AFE,2012,31.6734274619175,1702.9691001504,60.2495123598467,559609961.0,,,40.5120582580566
Africa Eastern and Southern,AFE,2013,31.7235735731483,1673.22110186487,60.895739752772,575202699.0,,,41.1352310180664
Africa Eastern and Southern,AFE,2014,31.8719561283579,1656.16770915726,61.2514360156709,590968990.0,,,42.2156600952148
Africa Eastern and Southern,AFE,2015,33.9222756622758,1479.61525980543,61.713030523495,607123269.0,,,42.2618598937988
Africa Eastern and Southern,AFE,2016,38.8595976583714,1329.80728479234,62.1679813169199,623369401.0,,,42.6814994812012
Africa Eastern and Southern,AFE,2017,40.2237441730368,1520.21223076132,62.5912750961501,640058741.0,,,43.2540893554688
Africa Eastern and Southern,AFE,2018,43.0350733507835,1538.90167917284,63.3306913582336,657801085.0,,,43.5594100952148
Africa Eastern and Southern,AFE,2019,44.3908605333639,1493.81793829992,63.8572612837042,675950189.0,,,44.1287307739258
Africa Eastern and Southern,AFE,2020,46.2823709455637,1344.10320999294,63.7664840026943,694446100.0,,,44.682559967041
Africa Eastern and Southern,AFE,2021,48.1272110400485,1522.3933455926,62.9799991857494,713090928.0,,,45.1505317687988
Africa Eastern and Southern,AFE,2022,48.8012579607658,1628.31894446307,64.4870195456608,731821393.0,,,45.2816200256348
Africa Eastern and Southern,AFE,2023,50.6683304830167,1510.74295082335,65.146290855385,750503764.0,,,45.1553916931152
Africa Eastern and Southern,AFE,2024,,1567.63583892828,,769294618.0,,,45.6060791015625
Africa Western and Central,AFW,1960,,121.939925360065,37.779636388716,97630925.0,,,
Africa Western and Central,AFW,1961,,127.454188774276,38.0589555015645,99706674.0,,,
Africa Western and Central,AFW,1962,,133.82704430968,38.6817923842751,101854756.0,,,
Africa Western and Central,AFW,1963,,139.008291347405,38.9369177714205,104089175.0,,,
Africa Western and Central,AFW,1964,,148.549378833398,39.1945798827297,106388440.0,,,
Africa Western and Central,AFW,1965,,155.565216180955,39.4797844952672,108772632.0,,,
Africa Western and Central,AFW,1966,,162.110767725028,39.7192480311618,111246953.0,,,
Africa Western and Central,AFW,1967,,144.943479575903,39.5293590242118,113795019.0,,,
Africa Western and Central,AFW,1968,,146.189166881183,40.2588895462561,116444636.0,,,
Africa Western and Central,AFW,1969,,161.921406587671,40.5678141333761,119203521.0,,,
Africa Western and Central,AFW,1970,,218.67629271063,41.2779385070111,122086536.0,,,7.98661994934082
Africa Western and Central,AFW,1971,,195.862003677066,41.7301022111752,125072948.0,,,8.21300029754639
Africa Western and Central,AFW,1972,,230.070787170051,42.3561322199373,128176494.0,,,8.65359973907471
Africa Western and Central,AFW,1973,,280.649304214746,42.8681230391338,131449942.0,,,9.16162967681885
Africa Western and Central,AFW,1974,,368.301914045369,43.4371553343667,134911581.0,,,9.45987033843994
Africa Western and Central,AFW,1975,,413.371448166968,43.9670793793715,138569918.0,,,9.91619968414307
Africa Western and Central,AFW,1976,,480.452655285577,44.7525700464106,142337272.0,,,10.4410495758057
Africa Western and Central,AFW,1977,,490.847766531108,45.3622641589988,146258576.0,,,11.0622701644897
Africa Western and Central,AFW,1978,,523.788096447283,45.8762783649255,150402616.0,,,12.1180200576782
Africa Western and Central,AFW,1979,,624.878297351825,46.3285066416568,154721711.0,,,13.332329750061
Africa Western and Central,AFW,1980,,757.075555274744,46.6962289703039,159166518.0,,,15.0003299713135
Africa Western and Central,AFW,1981,,1324.54658986636,47.0752192986973,163762473.0,,,16.9752101898193
Africa Western and Central,AFW,1982,,1162.13067562725,47.3739420165367,168585118.0,,,18.9348602294922
Africa Western and Central,AFW,1983,,872.832678467736,47.6195029699405,173255157.0,,,20.9244003295898
Africa Western and Central,AFW,1984,,737.674887791653,47.7975143595136,177880746.0,,,22.6107006072998
Africa Western and Central,AFW,1985,,753.799755384647,47.9442749866395,182811038.0,,,22.8133296966553
Africa Western and Central,AFW,1986,,581.390712761563,48.0379744032839,187889141.0,,,21.5825500488281
Africa Western and Central,AFW,1987,,581.523802444087,48.1393774166565,193104347.0,,,21.5655994415283
Africa Western and Central,AFW,1988,,560.380581616462,48.3713349117664,198485027.0,,,21.2176399230957
Africa Western and Central,AFW,1989,,509.326733627228,48.4959643881995,204062274.0,,,20.1980400085449
Africa Western and Central,AFW,1990,,590.321434989055,48.4592954544909,209566031.0,,,20.4625606536865
Africa Western and Central,AFW,1991,,603.878910231417,48.5310758841945,215178709.0,,,20.5557498931885
Africa Western and Central,AFW,1992,,563.310079422004,48.6885921357603,221191375.0,,,20.6794700622559
Africa Western and Central,AFW,1993,31.6534685725078,570.888638172679,48.8549400132309,227246778.0,,,20.7306098937988
Africa Western and Central,AFW,1994,32.6922076344145,577.548739357662,48.8592831063574,233360104.0,,,20.7932205200195
Africa Western and Central,AFW,1995,33.6948353431794,863.950570572512,49.027006694122,239801875.0,,,20.8791694641113
Africa Western and Central,AFW,1996,32.6973945834538,1065.68349929557,49.1115573704459,246415446.0,,,20.9238700866699
Africa Western and Central,AFW,1997,32.5239197544343,1088.99680508614,49.2187834859164,253207584.0,,,20.9066505432129
Africa Western and Central,AFW,1998,33.513503785092,1137.74449616425,49.4524590240079,260297834.0,,,21.0443801879883
Africa Western and Central,AFW,1999,34.8938570379457,521.364734349786,49.8237633292581,267506298.0,,,21.3046798706055
Africa Western and Central,AFW,2000,34.2461158257192,516.932316255791,50.2979830815751,274968446.0,,,22.3391399383545
Africa Western and Central,AFW,2001,35.3232672070551,530.653167771193,50.6777904131384,282780717.0,,,23.9813995361328
Africa Western and Central,AFW,2002,35.809110964429,616.796032637998,51.1080235711343,290841795.0,,,25.3692607879639
Africa Western and Central,AFW,2003,39.9602539341217,694.500937581338,51.5781222446253,299142845.0,,,27.1360893249512
Africa Western and Central,AFW,2004,37.5945022413501,840.252085094615,52.1060830935761,307725100.0,,,28.7706794738769
Africa Western and Central,AFW,2005,37.9359101368567,1001.60460688173,52.5557531001128,316588476.0,,,29.5611190795898
Africa Western and Central,AFW,2006,39.9529044823027,1236.62812739554,52.9787097061283,325663158.0,,,29.8653297424316
Africa Western and Central,AFW,2007,40.8648618879836,1407.64205786994,53.4824314053449,334984176.0,,,30.1015605926514
Africa Western and Central,AFW,2008,41.8660146613745,1668.84108160758,53.9162616333208,344586109.0,,,32.6177215576172
Africa Western and Central,AFW,2009,42.0024854401026,1454.72833143498,53.852245462001,354343844.0,,,35.1795806884766
Africa Western and Central,AFW,2010,41.9519903118982,1663.96693663873,54.603353213388,364358270.0,,,38.3284301757812
Africa Western and Central,AFW,2011,46.0619669218462,1844.1985949993,54.9639734890226,374790143.0,,,40.1716804504395
Africa Western and Central,AFW,2012,44.1865003474968,1941.36955612659,55.2927058217917,385360349.0,,,41.6457786560059
Africa Western and Central,AFW,2013,47.1945030733476,2131.66206746081,55.5549074075857,396030207.0,,,46.4255905151367
Africa Western and Central,AFW,2014,47.7673605462369,2221.01066549765,55.6954463398569,406992047.0,,,42.5117301940918
Africa Western and Central,AFW,2015,46.8624182524845,1860.72769393488,56.0383356484355,418127845.0,,,43.7089309692383
Africa Western and Central,AFW,2016,51.0451271925992,1630.03944681121,56.3924518507367,429454743.0,,,42.3061790466309
Africa Western and Central,AFW,2017,48.9007280475057,1574.23056047232,56.6264388112566,440882906.0,,,42.4331703186035
Africa Western and Central,AFW,2018,51.3358293517534,1720.14027955102,57.036976441386,452195915.0,,,42.7145614624023
Africa Western and Central,AFW,2019,51.2915769115352,1798.34068458315,57.1498467555118,463365429.0,,,43.9062690734863
Africa Western and Central,AFW,2020,51.8560428463068,1680.03933212698,57.3644254011107,474569351.0,,,44.7343406677246
Africa Western and Central,AFW,2021,54.368598708444,1765.9547879785,57.3625716910274,485920997.0,,,45.5674285888672
Africa Western and Central,AFW,2022,55.6866829669796,1796.66863273368,57.9878133945189,497387180.0,,,45.6372985839844
Africa Western and Central,AFW,2023,57.0692665803595,1599.39298291654,58.8557215483276,509398589.0,,,46.4422416687012
Africa Western and Central,AFW,2024,,1284.15444092323,,521764076.0,,,46.3004913330078
Albania,ALB,1960,,,56.413,1608800.0,,,
Albania,ALB,1961,,,57.488,1659800.0,,,
Albania,ALB,1962,,,58.494,1711319.0,,,
Albania,ALB,1963,,,59.479,1762621.0,,,
Albania,ALB,1964,,,60.404,1814135.0,,,
Albania,ALB,1965,,,61.273,1864791.0,,,
Albania,ALB,1966,,,62.149,1914573.0,,,
Albania,ALB,1967,,,62.976,1965598.0,,,
Albania,ALB,1968,,,63.788,2022272.0,,,
Albania,ALB,1969,,,64.538,2081695.0,,,
Albania,ALB,1970,,,65.234,2135479.0,,,
Albania,ALB,1971,,,65.896,2187853.0,,,
Albania,ALB,1972,,,66.526,2243126.0,,,
Albania,ALB,1973,,,67.107,2296752.0,,,
Albania,ALB,1974,,,67.633,2350124.0,,,
Albania,ALB,1975,,,68.12,2404831.0,,,
Albania,ALB,1976,,,68.57,2458526.0,,,
Albania,ALB,1977,,,68.992,2513546.0,,,
Albania,ALB,1978,,,69.367,2566266.0,,,
Albania,ALB,1979,,,69.617,2617832.0,,,
Albania,ALB,1980,,590.607738430529,69.903,2671997.0,,,
Albania,ALB,1981,,663.2942082544,70.145,2726056.0,,,
Albania,ALB,1982,,668.454504242454,70.425,2784278.0,,,
Albania,ALB,1983,,661.546782448624,70.705,2843960.0,,,
Albania,ALB,1984,,639.484730161417,70.984,2904429.0,,,
Albania,ALB,1985,,639.865903755552,71.282,2964762.0,,,
Albania,ALB,1986,,693.873474633887,71.665,3022635.0,,,
Albania,ALB,1987,,674.793383069492,71.981,3083605.0,,,
Albania,ALB,1988,,652.774321396566,72.217,3142336.0,,,
Albania,ALB,1989,,697.995596576519,72.457,3227943.0,,,
Albania,ALB,1990,100.0,617.230435515505,72.71,3286542.0,,,
Albania,ALB,1991,100.0,336.586994504629,73.001,3266790.0,,,
Albania,ALB,1992,100.0,200.852219772323,73.303,3247039.0,,,
Albania,ALB,1993,100.0,367.279225077581,73.638,3227287.0,,,
Albania,ALB,1994,100.0,586.416135130865,73.837,3207536.0,,,
Albania,ALB,1995,100.0,911.320465445326,74.022,3187784.0,,,
Albania,ALB,1996,100.0,1020.97618050188,74.113,3168033.0,3.0,,
Albania,ALB,1997,100.0,728.545523729675,73.383,3148281.0,,,
Albania,ALB,1998,100.0,831.175344077295,74.357,3128530.0,,,
Albania,ALB,1999,100.0,1056.34481153033,74.568,3108778.0,,96.79354,
Albania,ALB,2000,99.4,1160.42047054038,74.826,3089027.0,,95.38335,
Albania,ALB,2001,99.4,1326.41652388077,75.083,3060173.0,,93.86551,
Albania,ALB,2002,99.4,1479.83884572006,75.299,3051010.0,4.2,,74.5389175415039
Albania,ALB,2003,99.4,1908.69900687608,75.557,3039616.0,,91.69871,77.751823425293
Albania,ALB,2004,99.4,2446.90949947798,75.951,3026939.0,,90.92345,78.9801864624023
Albania,ALB,2005,99.4,2741.72136549578,76.427,3011487.0,2.7,,82.9714279174805
Albania,ALB,2006,99.4,3057.77257038113,76.994,2992547.0,,,84.3257675170898
Albania,ALB,2007,99.4,3743.05529896187,77.691,2970017.0,,,86.2188568115234
Albania,ALB,2008,100.0,4498.50486763601,78.248,2947314.0,0.8,86.78701,87.8338394165039
Albania,ALB,2009,99.6,4213.65007574693,78.509,2927519.0,,85.34118,89.3157196044922
Albania,ALB,2010,99.6,4149.14469936847,78.414,2913021.0,,85.95611,93.6818237304688
Albania,ALB,2011,99.7,4465.70914328865,78.303,2905195.0,,86.99052,95.4705276489258
Albania,ALB,2012,99.9,4222.3470988913,78.084,2900401.0,1.8,89.53195,97.6086120605469
Albania,ALB,2013,99.9,4420.23461988353,77.995,2895092.0,,91.90565,102.903209514161
Albania,ALB,2014,100.0,4602.23051443229,78.029,2889104.0,3.7,93.78369,103.321377531566
Albania,ALB,2015,100.0,3981.72662261867,78.358,2880703.0,1.1,94.17835,102.440729325166
Albania,ALB,2016,99.9,4168.37544462548,78.643,2876101.0,1.1,94.05692,99.170755047578
Albania,ALB,2017,99.9,4614.0479692596,78.9,2873457.0,1.4,95.53947,97.5743697537481
Albania,ALB,2018,100.0,5365.48880180298,79.238,2866376.0,1.0,94.52966,98.822387862215
Albania,ALB,2019,100.0,5460.4305086932,79.467,2854191.0,0.3,,99.01515356567
Albania,ALB,2020,100.0,5370.77749956875,77.824,2837849.0,0.3,,95.9294474518951
Albania,ALB,2021,100.0,6413.28280828537,76.844,2811666.0,,,97.665033031442
Albania,ALB,2022,100.0,6846.42669381643,78.769,2777689.0,,,97.3224714726407
Albania,ALB,2023,100.0,8575.17134637222,79.602,2745972.0,,,96.1368771236947
Albania,ALB,2024,,10011.6279856667,,2714617.0,,,108.355392456055
Algeria,DZA,1960,,238.392476666447,40.839,11424922.0,,,
Algeria,DZA,1961,,209.370672655334,40.792,11628883.0,,,
Algeria,DZA,1962,,169.60286272133,39.527,11800771.0,,,
Algeria,DZA,1963,,225.584660210993,43.143,11982118.0,,,
Algeria,DZA,1964,,238.863801545015,42.987,12179813.0,,,
Algeria,DZA,1965,,253.622059985778,42.846,12365976.0,,,
Algeria,DZA,1966,,241.44896961658,42.745,12590069.0,,,
Algeria,DZA,1967,,261.792442124002,42.731,12876118.0,,,
Algeria,DZA,1968,,292.436036368561,42.806,13172614.0,,,
Algeria,DZA,1969,,315.914655734237,42.991,13475960.0,,,
Algeria,DZA,1970,,352.845766557928,43.328,13783719.0,,,
Algeria,DZA,1971,,360.111081707845,43.782,14098936.0,,,12.1087102890015
Algeria,DZA,1972,,469.030996510511,44.384,14427072.0,,,12.6597995758057
Algeria,DZA,1973,,589.518126935221,45.102,14771147.0,,67.87061,14.074649810791
Algeria,DZA,1974,,872.889277439184,45.953,15133502.0,,71.78052,15.1989603042603
Algeria,DZA,1975,,992.302037378411,46.921,15678596.0,,74.18978,16.3679904937744
Algeria,DZA,1976,,1080.38620675609,48.034,16409170.0,,76.1599,19.0519599914551
Algeria,DZA,1977,,1232.49418664321,49.249,17015994.0,,77.72608,22.5548000335693
Algeria,DZA,1978,,1505.94222127977,50.615,17506974.0,,78.77859,26.3100109100342
Algeria,DZA,1979,,1843.11929565984,52.409,18036655.0,,78.87035,28.8074798583984
Algeria,DZA,1980,,2275.77971158899,54.512,18607174.0,,79.98721,30.6669998168945
Algeria,DZA,1981,,2307.33434430543,57.422,19220704.0,,80.25392,32.572868347168
Algeria,DZA,1982,,2274.87800990349,59.594,19872348.0,,79.92768,35.3191795349121
Algeria,DZA,1983,,2373.82511968473,61.251,20558115.0,,79.26301,38.3708190917969
Algeria,DZA,1984,,2524.38071403143,62.722,21271969.0,,80.29434,41.5667381286621
Algeria,DZA,1985,,2632.51711109075,64.155,22008544.0,,80.65069,44.6754684448242
Algeria,DZA,1986,,2800.20270812187,65.273,22745499.0,,81.81824,48.9760704040527
Algeria,DZA,1987,,2847.0776691988,66.13,23443624.0,,83.14107,51.4887809753418
Algeria,DZA,1988,,2450.87242078961,66.91,24109536.0,12.3,84.25691,52.7663192749023
Algeria,DZA,1989,,2247.4602712492,67.461,24754485.0,,85.33525,60.236270904541
Algeria,DZA,1990,,2445.18332740258,67.658,25375810.0,,85.87007,60.6158790588379
Algeria,DZA,1991,,1759.11201648229,67.692,25987928.0,,87.60795,59.8202705383301
Algeria,DZA,1992,,1802.69300801289,67.725,26628568.0,,88.70739,60.1012496948242
Algeria,DZA,1993,,1831.04800976449,67.797,27277048.0,,88.22298,59.9651985168457
Algeria,DZA,1994,,1525.54061760288,67.284,27887279.0,,88.16877,60.4800682067871
Algeria,DZA,1995,,1466.94806760415,67.691,28470191.0,11.8,88.39232,59.5076599121094
Algeria,DZA,1996,,1616.83198721285,68.219,29033044.0,,87.9189,58.9312896728516
Algeria,DZA,1997,,1628.76100561506,68.859,29579301.0,,87.36391,58.7424392700195
Algeria,DZA,1998,,1603.36623200836,69.327,30054133.0,,,
Algeria,DZA,1999,,1596.11822239025,70.088,30474354.0,,88.62222,64.7455978393555
Algeria,DZA,2000,98.6,1772.92869122761,70.576,30903893.0,,89.39816,64.5954208374023
Algeria,DZA,2001,98.6,1896.30020878013,71.025,31331221.0,,91.25702,68.763298034668
Algeria,DZA,2002,98.6,1937.46411413019,71.644,31750835.0,,92.17384,72.5830688476562
Algeria,DZA,2003,98.6,2283.77299346126,71.906,32175818.0,,92.40589,75.4358673095703
Algeria,DZA,2004,98.6,2816.99384960555,72.536,32628286.0,,92.86403,79.6298599243164
Algeria,DZA,2005,98.6,3233.13339634212,72.836,33109249.0,,93.09766,81.8563690185547
Algeria,DZA,2006,98.7,3660.66104745322,73.116,33623506.0,,93.20169,83.4811935424805
Algeria,DZA,2007,98.7,4167.45169937531,73.346,34189416.0,,95.24939,73.517822265625
Algeria,DZA,2008,99.3,5180.91881514686,73.618,34816961.0,,96.36304,80.2311401367188
Algeria,DZA,2009,98.8,4235.42990456612,73.871,35490445.0,,97.44184,96.3929595947266
Algeria,DZA,2010,98.9,4912.78585503672,74.144,36188236.0,,97.23353,100.739776611328
Algeria,DZA,2011,99.0,5916.31364364343,74.383,36903376.0,0.0,97.5945,103.184272766113
Algeria,DZA,2012,98.8,6033.64884689543,74.609,37646166.0,,97.31376,
Algeria,DZA,2013,99.2,5979.60138960585,74.809,38414171.0,,,
Algeria,DZA,2014,99.3,6094.69392314956,74.992,39205031.0,,,
Algeria,DZA,2015,99.4,4685.05902729002,75.159,40019529.0,,97.54838,
Algeria,DZA,2016,99.4,4424.98529027556,75.31,40850721.0,,97.5908,
Algeria,DZA,2017,99.5,4554.66753957828,75.431,41689299.0,,97.5883,
